Model,term,estimate,conf.low,conf.high,HR (95% CI),P value
FEV1 per 0.5-L increase,fev1_per_0_5l,1.046316155769779,0.7811602510713025,1.4014761968795055,"1.05 (0.78, 1.40)",0.761
FEV1 per 0.5-L increase,age,1.0322960213154375,0.9987568585461399,1.0669614596438368,"1.03 (1.00, 1.07)",0.059
FEV1 per 0.5-L increase,sexMale,1.3951851186490851,0.75894304342764,2.5648057942643905,"1.40 (0.76, 2.56)",0.284
FEV1 per 0.5-L increase,smokingFormer,2.326756900543159,1.033887026832931,5.236353231754054,"2.33 (1.03, 5.24)",0.041
FEV1 per 0.5-L increase,smokingCurrent,2.212320519778996,0.8823565563095863,5.546920966627868,"2.21 (0.88, 5.55)",0.090
FEV1 per 0.5-L increase,type_of_surgeryLobectomy,1.4019895152175292,0.6552339762516836,2.9998056755605127,"1.40 (0.66, 3.00)",0.384
FEV1 per 0.5-L increase,type_of_surgeryPneumonectomy,1.7441677853648998,0.7643800470618668,3.9798543606652754,"1.74 (0.76, 3.98)",0.186
FEV1 per 0.5-L increase,pathologic_stageII,1.649132330197924,0.9021696663441484,3.0145520781304804,"1.65 (0.90, 3.01)",0.104
FEV1 per 0.5-L increase,pathologic_stageIII,4.516924487224296,2.3160158191468363,8.809355555612004,"4.52 (2.32, 8.81)",<0.001
FEV1 per 0.5-L increase,tumor_size_cm,1.1439385252656176,1.0049991411741848,1.3020860376636603,"1.14 (1.00, 1.30)",0.042
FEV1 percent predicted per 10-percentage-point increase,fev_pct_per_10,1.061730833645055,0.8353264818144577,1.3494991331581088,"1.06 (0.84, 1.35)",0.624
FEV1 percent predicted per 10-percentage-point increase,age,1.0339674799562066,0.9988587620779042,1.0703102282278492,"1.03 (1.00, 1.07)",0.058
FEV1 percent predicted per 10-percentage-point increase,sexMale,1.4141113411385622,0.809134513364002,2.4714195873598848,"1.41 (0.81, 2.47)",0.224
FEV1 percent predicted per 10-percentage-point increase,smokingFormer,2.4461725242334267,1.091326912052866,5.483013341124927,"2.45 (1.09, 5.48)",0.030
FEV1 percent predicted per 10-percentage-point increase,smokingCurrent,2.349489671559959,0.9241386766042295,5.973239575959178,"2.35 (0.92, 5.97)",0.073
FEV1 percent predicted per 10-percentage-point increase,type_of_surgeryLobectomy,1.6188538964038632,0.7606409123159117,3.4453681040148125,"1.62 (0.76, 3.45)",0.211
FEV1 percent predicted per 10-percentage-point increase,type_of_surgeryPneumonectomy,1.9186673811475792,0.8414254156151919,4.375057433686157,"1.92 (0.84, 4.38)",0.121
FEV1 percent predicted per 10-percentage-point increase,pathologic_stageII,1.8769375886685469,1.0356485495320207,3.4016314833336003,"1.88 (1.04, 3.40)",0.038
FEV1 percent predicted per 10-percentage-point increase,pathologic_stageIII,4.533632052482409,2.3457355299446183,8.762206704428069,"4.53 (2.35, 8.76)",<0.001
FEV1 percent predicted per 10-percentage-point increase,tumor_size_cm,1.1409087046649273,1.014938708597575,1.2825135757989081,"1.14 (1.01, 1.28)",0.027
DLCO per 5-unit increase,dlco_per_5,0.734627377259912,0.4938091167639356,1.0928866339212784,"0.73 (0.49, 1.09)",0.128
DLCO per 5-unit increase,age,1.0298842812329765,0.9961505941239001,1.064760327391664,"1.03 (1.00, 1.06)",0.083
DLCO per 5-unit increase,sexMale,1.5428237385672121,0.8451376449659341,2.816470313995367,"1.54 (0.85, 2.82)",0.158
DLCO per 5-unit increase,smokingFormer,2.839955878011423,1.1995963327944208,6.723386166297843,"2.84 (1.20, 6.72)",0.018
DLCO per 5-unit increase,smokingCurrent,1.9500228964384403,0.7305358278903963,5.205205756458359,"1.95 (0.73, 5.21)",0.182
DLCO per 5-unit increase,type_of_surgeryLobectomy,1.8969584252809304,0.8046979683822753,4.471803594183858,"1.90 (0.80, 4.47)",0.143
DLCO per 5-unit increase,type_of_surgeryPneumonectomy,2.334036878797648,0.9233075877452043,5.900231108130805,"2.33 (0.92, 5.90)",0.073
DLCO per 5-unit increase,pathologic_stageII,1.982717742478602,1.0741079538147527,3.659939052101496,"1.98 (1.07, 3.66)",0.029
DLCO per 5-unit increase,pathologic_stageIII,4.563908620554711,2.323672555664375,8.963940227291701,"4.56 (2.32, 8.96)",<0.001
DLCO per 5-unit increase,tumor_size_cm,1.1543017833170413,1.0274646866745587,1.2967964974848158,"1.15 (1.03, 1.30)",0.016
DLCO percent predicted per 10-percentage-point increase,dlco_pct_per_10,0.7823952919271461,0.6382730855927299,0.9590603248784969,"0.78 (0.64, 0.96)",0.018
DLCO percent predicted per 10-percentage-point increase,age,1.021650919831683,0.9899152789008587,1.05440397197613,"1.02 (0.99, 1.05)",0.183
DLCO percent predicted per 10-percentage-point increase,sexMale,1.27671256421712,0.7068630066339237,2.305955972136493,"1.28 (0.71, 2.31)",0.418
DLCO percent predicted per 10-percentage-point increase,smokingFormer,2.240901799208967,0.9915627713265297,5.064370122508682,"2.24 (0.99, 5.06)",0.052
DLCO percent predicted per 10-percentage-point increase,smokingCurrent,1.956613156768204,0.7696387784282592,4.974197185147797,"1.96 (0.77, 4.97)",0.159
DLCO percent predicted per 10-percentage-point increase,type_of_surgeryLobectomy,1.8409204492477074,0.8813062877338305,3.8454146391860458,"1.84 (0.88, 3.85)",0.104
DLCO percent predicted per 10-percentage-point increase,type_of_surgeryPneumonectomy,2.119450414932304,0.9305029783233085,4.827571932602587,"2.12 (0.93, 4.83)",0.074
DLCO percent predicted per 10-percentage-point increase,pathologic_stageII,1.9046632904624132,1.0670992970121098,3.3996295004530763,"1.90 (1.07, 3.40)",0.029
DLCO percent predicted per 10-percentage-point increase,pathologic_stageIII,4.807229847253521,2.5237684895431296,9.156726894751168,"4.81 (2.52, 9.16)",<0.001
DLCO percent predicted per 10-percentage-point increase,tumor_size_cm,1.1349767508289599,0.9995847264813345,1.2887073909750433,"1.13 (1.00, 1.29)",0.051
