Outcome,PFT,N,"No complication, median (IQR)","Complication, median (IQR)",P_value,P value
Any postoperative complication,FEV1,122,"2.6 (2.2, 2.9)","2.5 (2.0, 3.0)",0.8314840672350866,0.831
Any postoperative complication,FEV1 percent predicted,123,"81.9 (75.7, 91.4)","79.4 (71.8, 84.3)",0.21708750955868442,0.217
Any postoperative complication,DLCO,120,"18.6 (16.5, 21.6)","18.3 (14.7, 20.2)",0.1872658239833398,0.187
Any postoperative complication,DLCO percent predicted,121,"79.3 (70.6, 87.4)","75.3 (65.2, 82.9)",0.25041958236985395,0.250
Respiratory complication,FEV1,122,"2.6 (2.2, 2.9)","2.6 (2.1, 2.9)",0.847578414970788,0.848
Respiratory complication,FEV1 percent predicted,123,"81.4 (75.5, 91.3)","79.4 (72.2, 83.8)",0.3826554995761976,0.383
Respiratory complication,DLCO,120,"18.6 (16.4, 21.3)","18.4 (14.8, 20.4)",0.7125817269294661,0.713
Respiratory complication,DLCO percent predicted,121,"79.2 (70.6, 87.4)","73.0 (58.9, 81.0)",0.22637627894922463,0.226
Cardiac complication,FEV1,122,"2.6 (2.2, 2.9)","2.2 (2.1, 2.4)",0.4721782117856017,0.472
Cardiac complication,FEV1 percent predicted,123,"81.4 (75.3, 91.5)","78.7 (78.4, 80.2)",0.3768488263673793,0.377
Cardiac complication,DLCO,120,"18.4 (16.0, 21.3)","18.9 (17.4, 19.1)",1,1.000
Cardiac complication,DLCO percent predicted,121,"78.6 (69.7, 87.3)","77.8 (74.9, 81.8)",0.995236711485431,0.995
Infectious complication,FEV1,122,"2.6 (2.2, 2.9)","2.8 (2.5, 3.1)",0.20064634834864087,0.201
Infectious complication,FEV1 percent predicted,123,"80.9 (75.3, 90.9)","80.0 (76.1, 98.0)",0.6725525266005925,0.673
Infectious complication,DLCO,120,"18.6 (16.4, 21.3)","16.8 (14.9, 22.9)",0.9519843094893973,0.952
Infectious complication,DLCO percent predicted,121,"78.5 (69.8, 87.3)","79.2 (72.9, 82.3)",0.8146640478242595,0.815
Postoperative death complication,FEV1,122,"2.6 (2.2, 2.9)","2.1 (2.0, 2.3)",0.22632851580263558,0.226
Postoperative death complication,FEV1 percent predicted,123,"80.8 (75.3, 91.3)","79.2 (77.5, 81.0)",0.7039761970819124,0.704
Postoperative death complication,DLCO,120,"18.6 (16.0, 21.3)","18.3 (18.3, 18.3)",0.9102177086692896,0.910
Postoperative death complication,DLCO percent predicted,121,"78.5 (69.8, 87.3)","84.6 (84.6, 84.6)",0.5572499247245699,0.557
