Variable,Missing_N,Total_N,Missing_Percent
operation_time_min,33,2400,1.4
los_days,30,2400,1.2
race_ethnicity,20,2400,0.8
asa_class,15,2400,0.6
asa_severity,15,2400,0.6
bmi,14,2400,0.6
smoking_status,11,2400,0.5
reoperation,9,2400,0.4
failwean_bin,8,2400,0.3
wndinfd_bin,7,2400,0.3
age_years,6,2400,0.2
cnscoma_bin,6,2400,0.2
orgspcssi_bin,6,2400,0.2
othbleed_bin,6,2400,0.2
othgrafl_bin,6,2400,0.2
othseshock_bin,6,2400,0.2
sex,6,2400,0.2
cdarrest_bin,5,2400,0.2
cnscva_bin,5,2400,0.2
mortality,5,2400,0.2
reintub_bin,5,2400,0.2
urninfec_bin,5,2400,0.2
neurodef_bin,4,2400,0.2
oupneumo_bin,4,2400,0.2
pulembol_bin,4,2400,0.2
supinfec_bin,4,2400,0.2
dehis_bin,3,2400,0.1
othdvt_bin,3,2400,0.1
othsysep_bin,3,2400,0.1
cdmi_bin,2,2400,0.1
oprenafl_bin,2,2400,0.1
renainsf_bin,2,2400,0.1
case_id,0,2400,0
number_complications,0,2400,0
procedure,0,2400,0
surgical_complication,0,2400,0
